	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	% splices: Annotated (sjdb)	% splices: GT/AG	% splices: GC/AG	% splices: AT/AC	% splices: Non-canonical
N_CVN_25	Apr 30 18:28:24	Apr 30 18:30:03	Apr 30 18:31:16	526.88	10683956.0	100.0	9675927.0	90.57	98.88	2442425.0	2412515.0	2419324.0	19922.0	1601.0	1578.0	0.25	0.01	1.55	0.01	1.45	511575.0	4.79	32036.0	0.3	0.0	4.26	0.09	98.7753974022	99.0541777127	0.815664759409	0.0655496074598	0.064607920407
N_CVN_26	Apr 30 18:27:51	Apr 30 18:29:16	Apr 30 18:30:36	536.5	11922141.0	100.0	10840002.0	90.92	98.88	2403764.0	2373778.0	2379271.0	19722.0	3128.0	1643.0	0.26	0.01	1.57	0.01	1.54	544013.0	4.56	32054.0	0.27	0.0	4.16	0.09	98.7525397668	98.9810563766	0.820463240152	0.130129247297	0.0683511359684
N_CVN_27	Apr 30 18:41:46	Apr 30 18:42:22	Apr 30 18:43:50	430.67	10527447.0	100.0	9602002.0	91.21	99.02	2278735.0	2251624.0	2257319.0	17355.0	1806.0	2255.0	0.25	0.01	1.56	0.01	1.44	486799.0	4.62	36633.0	0.35	0.0	3.72	0.1	98.8102609562	99.0601803193	0.761606768668	0.0792544986582	0.0989584133302
N_CVN_28	Apr 30 18:46:33	Apr 30 18:47:15	Apr 30 18:48:44	471.36	11653154.0	100.0	10694006.0	91.77	99.03	1815168.0	1791419.0	1797956.0	13874.0	1441.0	1897.0	0.26	0.02	1.55	0.01	1.47	407783.0	3.5	39058.0	0.34	0.0	4.29	0.11	98.6916362563	99.051768211	0.764336964953	0.0793865912136	0.104508232847
N_CVN_29	Apr 30 18:39:16	Apr 30 18:40:03	Apr 30 18:41:39	460.35	12275871.0	100.0	11350587.0	92.46	99.09	2111312.0	2083230.0	2089660.0	17404.0	2721.0	1527.0	0.26	0.02	1.57	0.01	1.48	476931.0	3.89	36545.0	0.3	0.0	3.25	0.1	98.669926567	98.974476534	0.824321559296	0.12887721	0.0723246966815
N_CVN_30	Apr 30 18:36:51	Apr 30 18:38:16	Apr 30 18:45:21	121.06	14291222.0	100.0	13197254.0	92.35	99.0	2582751.0	2544675.0	2558915.0	18977.0	2959.0	1900.0	0.25	0.02	1.56	0.01	1.46	552516.0	3.87	39998.0	0.28	0.0	3.37	0.14	98.5257579999	99.0771080913	0.734759177327	0.114567761275	0.0735649700649
N_CVN_31	Apr 30 18:43:57	Apr 30 18:44:28	Apr 30 18:46:27	513.48	16973336.0	100.0	15546936.0	91.6	99.0	2907605.0	2865064.0	2878172.0	23560.0	2742.0	3131.0	0.25	0.02	1.57	0.01	1.43	584223.0	3.44	47444.0	0.28	0.0	4.57	0.11	98.5369058039	98.9877235732	0.810288880367	0.094304418929	0.107683127522
N_CVN_32	Apr 30 18:32:03	Apr 30 18:32:58	Apr 30 18:36:03	386.14	19843132.0	100.0	18238723.0	91.91	99.05	4305778.0	4253868.0	4264788.0	33193.0	4507.0	3290.0	0.24	0.02	1.57	0.01	1.49	807917.0	4.07	61970.0	0.31	0.0	3.59	0.11	98.7944106733	99.048023377	0.770894365664	0.104673301782	0.0764089555941
N_CVN_33	Apr 30 18:48:53	Apr 30 18:49:39	Apr 30 18:51:52	445.94	16475025.0	100.0	14954435.0	90.77	98.88	3516430.0	3475702.0	3481149.0	29112.0	2747.0	3422.0	0.24	0.02	1.55	0.01	1.41	695403.0	4.22	51088.0	0.31	0.0	4.61	0.09	98.8417798733	98.9966812932	0.827885099376	0.0781190013736	0.0973146060067
N_CVN_34	Apr 30 18:53:46	Apr 30 18:54:32	Apr 30 18:56:04	274.6	7017558.0	100.0	6434310.0	91.69	98.97	1458633.0	1442130.0	1443692.0	11488.0	2039.0	1414.0	0.25	0.02	1.57	0.01	1.48	287177.0	4.09	20684.0	0.29	0.0	3.84	0.08	98.8685982012	98.9756847679	0.787586733606	0.139788418334	0.0969400801984
N_CVN_35	Apr 30 18:43:30	Apr 30 18:44:03	Apr 30 18:47:07	454.19	23214193.0	100.0	20950986.0	90.25	98.92	7786991.0	7716850.0	7726400.0	49044.0	6804.0	4743.0	0.25	0.01	1.52	0.01	1.51	1402038.0	6.04	60439.0	0.26	0.0	3.41	0.04	99.0992541278	99.2218945675	0.629819656912	0.0873764975457	0.060909278051
N_N4_10	Apr 29 19:22:36	Apr 29 19:22:59	Apr 29 19:38:59	158.97	42391436.0	200.0	28869844.0	68.1	192.74	12388276.0	12237541.0	12287618.0	83478.0	8694.0	8486.0	0.44	0.01	1.55	0.01	1.45	883637.0	2.08	70878.0	0.17	0.0	29.59	0.05	98.7832447388	99.187473705	0.67384678869	0.070179256581	0.0685002497523
N_N4_11	Apr 30 00:32:07	Apr 30 00:33:13	Apr 30 00:52:44	120.42	39170267.0	200.0	27161909.0	69.34	194.57	10780820.0	10650688.0	10684325.0	72209.0	12260.0	12026.0	0.43	0.01	1.48	0.01	1.47	798635.0	2.04	71845.0	0.18	0.0	28.42	0.02	98.7929304079	99.1049382143	0.669791351678	0.113720477663	0.111549956311
N_N4_12	Apr 29 18:38:32	Apr 29 18:38:51	Apr 29 18:54:39	154.27	40623240.0	200.0	28345453.0	69.78	194.44	11784326.0	11673970.0	11668718.0	95208.0	9774.0	10626.0	0.44	0.01	1.54	0.01	1.46	925622.0	2.28	69099.0	0.17	0.0	27.71	0.06	99.0635357508	99.0189680767	0.807920622698	0.0829406790002	0.0901706215527
N_N4_13	Apr 29 19:32:22	Apr 29 19:33:27	Apr 29 19:52:54	165.36	53603751.0	200.0	38350202.0	71.54	193.58	16518805.0	16324532.0	16389626.0	99299.0	12365.0	17515.0	0.45	0.01	1.58	0.01	1.49	1335106.0	2.49	73664.0	0.14	0.0	25.79	0.04	98.8239282442	99.2179882261	0.601127018571	0.0748540829679	0.106030672316
N_N4_14	Apr 29 19:37:40	Apr 29 19:37:59	Apr 29 19:54:30	162.52	44737173.0	200.0	30337827.0	67.81	193.22	9797586.0	9655472.0	9722751.0	61301.0	7777.0	5757.0	0.44	0.01	1.65	0.01	1.46	776981.0	1.74	83012.0	0.19	0.0	30.22	0.05	98.5494998462	99.2361894042	0.625674528399	0.0793766954431	0.0587593719514
N_N4_3	Apr 29 18:33:15	Apr 29 18:33:35	Apr 29 18:43:00	178.87	28072349.0	200.0	21620956.0	77.02	195.34	11074283.0	10934100.0	10993125.0	60225.0	9456.0	11477.0	0.44	0.01	1.49	0.01	1.5	676207.0	2.41	50326.0	0.18	0.0	20.35	0.04	98.7341573265	99.2671489432	0.543827532672	0.0853870178322	0.103636506309
N_N4_4	Apr 29 18:29:23	Apr 29 18:30:13	Apr 29 18:42:30	197.86	40506723.0	200.0	32504981.0	80.25	195.46	8211122.0	8069900.0	8131091.0	63632.0	8700.0	7699.0	0.45	0.02	1.64	0.01	1.47	682332.0	1.68	74215.0	0.18	0.0	17.83	0.06	98.2801132415	99.0253341748	0.774948904669	0.105953851374	0.093763069164
N_N4_5	Apr 29 19:37:38	Apr 29 19:37:57	Apr 29 19:50:03	171.58	34601111.0	200.0	25762866.0	74.46	195.31	16870864.0	16727340.0	16741499.0	100872.0	16779.0	11714.0	0.44	0.01	1.53	0.01	1.52	928394.0	2.68	43024.0	0.12	0.0	22.72	0.02	99.1492788988	99.2332046539	0.59790654468	0.0994554872827	0.0694333141444
N_N4_6	Apr 29 19:40:30	Apr 29 19:41:05	Apr 29 19:55:45	148.81	36376914.0	200.0	25903068.0	71.21	194.31	12418007.0	12316901.0	12318228.0	79854.0	11611.0	8314.0	0.44	0.01	1.55	0.01	1.39	832698.0	2.29	49479.0	0.14	0.0	26.36	0.01	99.1858113786	99.1964974734	0.643050048208	0.093501316274	0.0669511621309
N_N4_7	Apr 29 19:25:51	Apr 29 19:26:10	Apr 29 19:37:30	174.69	32997276.0	200.0	24680632.0	74.8	194.76	9904614.0	9790480.0	9805702.0	78047.0	9565.0	11300.0	0.45	0.01	1.61	0.01	1.46	751444.0	2.28	49546.0	0.15	0.0	22.73	0.04	98.8476683695	99.0013543183	0.787986285988	0.0965711536058	0.114088242106
N_N4_8	Apr 29 19:10:21	Apr 29 19:10:50	Apr 29 19:36:52	153.75	66708698.0	200.0	44024275.0	65.99	193.19	22743365.0	22539078.0	22539900.0	157686.0	26903.0	18876.0	0.45	0.01	1.56	0.01	1.44	1872129.0	2.81	126480.0	0.19	0.0	30.98	0.03	99.1017731985	99.1053874394	0.693327482543	0.118289443976	0.0829956341113
N_N4_9	Apr 29 18:39:53	Apr 29 18:40:23	Apr 29 18:46:54	177.32	19258415.0	200.0	14905240.0	77.4	195.12	5754161.0	5684419.0	5702994.0	36962.0	6764.0	7441.0	0.43	0.01	1.57	0.01	1.47	383520.0	1.99	30173.0	0.16	0.0	20.41	0.04	98.7879727383	99.1107826145	0.642352551484	0.1175497175	0.129315116487
N_N5_1	Apr 29 19:04:21	Apr 29 19:05:16	Apr 29 19:51:59	155.23	120867141.0	200.0	82024736.0	67.86	194.24	35460586.0	35031536.0	35155776.0	238803.0	31998.0	34009.0	0.41	0.01	1.57	0.01	1.46	2768054.0	2.29	216379.0	0.18	0.0	29.63	0.04	98.7900651162	99.1404259366	0.6734321875	0.0902353954331	0.0959064805077
N_N5_10	Apr 29 19:50:16	Apr 29 19:53:05	Apr 29 20:00:32	189.96	23586859.0	200.0	19210408.0	81.45	196.04	7673652.0	7580343.0	7607839.0	50942.0	7627.0	7244.0	0.41	0.01	1.56	0.01	1.49	593602.0	2.52	40404.0	0.17	0.0	15.81	0.06	98.7840339906	99.1423509953	0.66385601015	0.0993920495743	0.0944009449477
N_N5_11	Apr 29 18:42:32	Apr 29 18:43:01	Apr 29 18:54:28	91.87	17531053.0	200.0	7864694.0	44.86	191.46	1954014.0	1911159.0	1930982.0	16262.0	3657.0	3113.0	0.42	0.02	1.59	0.01	1.47	276517.0	1.58	35134.0	0.2	0.0	53.33	0.03	97.8068222643	98.8212981074	0.83223559299	0.187153213846	0.159313085781
N_N5_12	Apr 29 18:19:17	Apr 29 18:20:19	Apr 29 18:25:53	155.86	14460035.0	200.0	10917891.0	75.5	194.75	4254488.0	4202865.0	4217305.0	29902.0	3412.0	3869.0	0.4	0.02	1.57	0.01	1.41	312986.0	2.16	22216.0	0.15	0.0	22.13	0.05	98.7866225031	99.1260287959	0.702834277591	0.0801976642078	0.0909392622567
N_N5_13	Apr 29 18:26:30	Apr 29 18:28:28	Apr 29 18:47:37	102.04	32566606.0	200.0	21658141.0	66.5	193.58	10482350.0	10354167.0	10393206.0	68265.0	7500.0	13379.0	0.42	0.01	1.54	0.01	1.48	795161.0	2.44	51877.0	0.16	0.0	30.86	0.04	98.7771539779	99.1495800083	0.651237556464	0.0715488416243	0.127633593612
N_N5_14	Apr 29 18:08:51	Apr 29 18:09:30	Apr 29 18:19:06	123.02	19683697.0	200.0	12000801.0	60.97	192.72	7130389.0	7060293.0	7074250.0	44803.0	6782.0	4554.0	0.42	0.01	1.63	0.0	1.47	507656.0	2.58	40061.0	0.2	0.0	36.21	0.04	99.0169400295	99.2126797009	0.628338790492	0.0951140253358	0.0638674832467
N_N5_2	Apr 29 18:12:28	Apr 29 18:14:13	Apr 29 18:23:05	173.71	25670273.0	200.0	19641651.0	76.52	195.71	8853130.0	8755214.0	8780852.0	60713.0	4777.0	6788.0	0.41	0.01	1.53	0.01	1.51	570241.0	2.22	48555.0	0.19	0.0	21.03	0.04	98.8939956829	99.1835881773	0.685780057449	0.0539583175668	0.0766734476959
N_N5_3	Apr 29 19:00:06	Apr 29 19:00:24	Apr 29 19:07:51	149.2	18526281.0	200.0	12493076.0	67.43	193.93	7408415.0	7302530.0	7346395.0	48354.0	7989.0	5677.0	0.44	0.01	1.6	0.01	1.44	472357.0	2.55	27807.0	0.15	0.0	29.84	0.03	98.5707469142	99.1628438742	0.652690217813	0.107836831495	0.0766290765299
N_N5_4	Apr 29 19:03:43	Apr 29 19:04:04	Apr 29 19:12:03	174.91	23273166.0	200.0	17722383.0	76.15	195.09	6854874.0	6775133.0	6787898.0	53079.0	7081.0	6816.0	0.44	0.02	1.56	0.01	1.53	535133.0	2.3	40720.0	0.17	0.0	21.34	0.04	98.8367255182	99.0229433831	0.774324954769	0.103298762311	0.0994328998607
N_N5_5	Apr 29 18:35:42	Apr 29 18:36:18	Apr 29 18:42:23	177.42	17988440.0	200.0	13851069.0	77.0	195.3	5409171.0	5342219.0	5360236.0	38588.0	4949.0	5398.0	0.41	0.01	1.53	0.01	1.49	383359.0	2.13	25499.0	0.14	0.0	20.7	0.02	98.7622502598	99.0953327229	0.713381033804	0.0914927629391	0.0997934803688
N_N5_6	Apr 29 19:48:01	Apr 29 19:48:22	Apr 29 19:56:40	188.73	26107185.0	200.0	20364307.0	78.0	195.13	8651330.0	8536806.0	8568446.0	66123.0	8445.0	8316.0	0.42	0.01	1.55	0.01	1.58	607965.0	2.33	39715.0	0.15	0.0	19.49	0.03	98.6762266611	99.0419507752	0.764310227445	0.0976150487844	0.0961239485721
N_N5_7	Apr 29 19:36:32	Apr 29 19:36:59	Apr 29 19:41:31	158.32	11962084.0	200.0	8556814.0	71.53	194.29	4239197.0	4178920.0	4203143.0	27496.0	3230.0	5328.0	0.41	0.01	1.51	0.01	1.48	300605.0	2.51	23126.0	0.19	0.0	25.74	0.03	98.5781033531	99.1495087395	0.64861340485	0.0761936753588	0.125684180282
N_N5_8	Apr 29 20:01:32	Apr 29 20:01:56	Apr 29 20:07:15	143.47	12713024.0	200.0	8399309.0	66.07	194.08	3094535.0	3053455.0	3071055.0	17098.0	2764.0	3618.0	0.41	0.02	1.55	0.01	1.41	251629.0	1.98	25193.0	0.2	0.0	31.72	0.04	98.6724984529	99.2412430301	0.552522430672	0.0893187506362	0.11691578864
N_N5_9	Apr 29 19:29:16	Apr 29 19:29:41	Apr 29 19:42:03	115.65	23837138.0	200.0	12330708.0	51.73	191.4	8003947.0	7923599.0	7942347.0	45878.0	6829.0	8893.0	0.44	0.02	1.58	0.01	1.48	593312.0	2.49	52120.0	0.22	0.0	45.53	0.04	98.9961452768	99.2303797114	0.573192201298	0.0853204050452	0.111107682247
P_M2nd_33	Apr 29 18:54:52	Apr 29 18:55:11	Apr 29 18:56:48	138.76	3738853.0	200.0	2854448.0	76.35	194.54	1481862.0	1459751.0	1470756.0	9548.0	998.0	560.0	0.53	0.01	1.54	0.01	1.62	139828.0	3.74	13720.0	0.37	0.0	19.52	0.03	98.5078907483	99.2505374994	0.644324505251	0.0673477017428	0.0377902935631
P_M2nd_34	Apr 29 18:23:01	Apr 29 18:23:45	Apr 29 18:28:43	134.98	11173015.0	200.0	8433468.0	75.48	194.09	4701998.0	4629900.0	4666001.0	30136.0	3744.0	2117.0	0.45	0.01	1.55	0.01	1.57	401779.0	3.6	49445.0	0.44	0.0	20.46	0.03	98.4666518361	99.2344318309	0.640919030591	0.0796257250641	0.045023413451
P_P1_01	Apr 29 19:23:28	Apr 29 19:24:03	Apr 29 19:27:42	274.16	16678136.0	184.0	14543300.0	87.2	181.17	7927554.0	7833803.0	7860854.0	54703.0	5897.0	6100.0	0.37	0.01	1.48	0.01	1.48	546022.0	3.27	22885.0	0.14	0.0	9.35	0.04	98.817403199	99.1586307706	0.690036296189	0.0743861221254	0.0769468110845
P_P1_02	Apr 29 19:44:10	Apr 29 19:45:32	Apr 29 19:50:09	241.45	18578369.0	184.0	16056470.0	86.43	180.96	9775012.0	9657510.0	9690433.0	67193.0	8468.0	8918.0	0.34	0.01	1.52	0.01	1.52	629781.0	3.39	39979.0	0.22	0.0	9.9	0.07	98.7979349795	99.1347427502	0.687395575576	0.0866290496625	0.0912326245738
P_P1_03	Apr 29 19:44:05	Apr 29 19:44:25	Apr 29 19:47:53	293.58	16962345.0	184.0	15152060.0	89.33	181.41	8652162.0	8556131.0	8576856.0	58876.0	9688.0	6742.0	0.35	0.01	1.51	0.01	1.52	532417.0	3.14	19639.0	0.12	0.0	7.38	0.03	98.8900924416	99.1296279473	0.680477318848	0.111972013469	0.0779227203559
P_P1_04	Apr 29 19:41:10	Apr 29 19:41:53	Apr 29 19:44:52	279.68	13906124.0	184.0	12306980.0	88.5	181.32	7426396.0	7343608.0	7364787.0	48248.0	6009.0	7352.0	0.36	0.01	1.46	0.01	1.56	449104.0	3.23	22192.0	0.16	0.0	8.06	0.05	98.8852196947	99.1704051333	0.649682564733	0.0809140799925	0.0989982220178
P_P1_05	Apr 29 18:51:51	Apr 29 18:52:11	Apr 29 18:54:41	276.58	11524087.0	184.0	10176979.0	88.31	181.22	6566997.0	6494582.0	6513991.0	40728.0	7067.0	5211.0	0.35	0.01	1.51	0.01	1.48	370339.0	3.21	15819.0	0.14	0.0	8.32	0.02	98.8972889739	99.1928426342	0.620192151755	0.107613875871	0.0793513382144
P_P1_06	Apr 29 18:47:01	Apr 29 18:48:00	Apr 29 18:53:15	235.94	20644937.0	184.0	18302925.0	88.66	181.32	12107425.0	11979686.0	12006847.0	79844.0	11592.0	9142.0	0.33	0.01	1.48	0.01	1.53	729476.0	3.53	26394.0	0.13	0.0	7.65	0.03	98.9449532002	99.1692866154	0.659463098058	0.0957429015666	0.0755073849311
P_P1_07	Apr 29 19:48:11	Apr 29 19:48:54	Apr 29 19:52:13	270.91	14975560.0	184.0	13071459.0	87.29	181.14	8256884.0	8168696.0	8186256.0	55098.0	9121.0	6409.0	0.35	0.01	1.57	0.01	1.48	455005.0	3.04	17670.0	0.12	0.0	9.53	0.03	98.9319457558	99.1446167828	0.667297736047	0.110465400749	0.0776200804081
P_P1_08	Apr 29 19:10:48	Apr 29 19:11:07	Apr 29 19:12:24	236.19	5051936.0	184.0	4472361.0	88.53	181.41	2323049.0	2288375.0	2302554.0	15914.0	2210.0	2371.0	0.37	0.01	1.55	0.01	1.5	146928.0	2.91	6018.0	0.12	0.0	8.42	0.02	98.5073926551	99.1177542962	0.685047969285	0.0951335938243	0.102064140705
P_P1_09	Apr 29 18:01:27	Apr 29 18:04:18	Apr 29 18:12:20	87.78	11752555.0	184.0	10274105.0	87.42	181.07	6231560.0	6149258.0	6183037.0	39056.0	4884.0	4583.0	0.34	0.01	1.54	0.01	1.52	368863.0	3.14	16468.0	0.14	0.0	9.28	0.02	98.6792713221	99.2213346257	0.626745148887	0.0783752383031	0.07354498713
P_P1_10	Apr 29 19:18:56	Apr 29 19:19:17	Apr 29 19:23:20	297.17	20059305.0	184.0	17766337.0	88.57	181.48	9561168.0	9434083.0	9472762.0	71206.0	8594.0	8606.0	0.38	0.01	1.56	0.01	1.48	588543.0	2.93	25016.0	0.12	0.0	8.34	0.04	98.6708213892	99.0753640141	0.744741646627	0.0898844157952	0.0900099234738
P_P1_11	Apr 29 19:33:53	Apr 29 19:34:12	Apr 29 19:38:07	296.02	19323204.0	184.0	17221982.0	89.13	181.42	8531770.0	8409133.0	8460128.0	57862.0	7136.0	6644.0	0.35	0.01	1.54	0.01	1.54	552238.0	2.86	22001.0	0.11	0.0	7.86	0.04	98.5625843172	99.1602914753	0.678194559863	0.0836403231686	0.0778736416945
P_P1_12	Apr 29 18:00:02	Apr 29 18:02:16	Apr 29 18:27:02	25.17	10390777.0	184.0	9144339.0	88.0	181.44	5470989.0	5397316.0	5424017.0	37215.0	4301.0	5456.0	0.33	0.01	1.52	0.01	1.57	329944.0	3.18	14511.0	0.14	0.0	8.65	0.03	98.6533878975	99.1414349398	0.680224361628	0.0786146709489	0.0997260275976
P_P2_01	Apr 29 19:20:29	Apr 29 19:21:23	Apr 29 19:24:07	265.08	12075684.0	184.0	10722464.0	88.79	181.17	5886272.0	5806090.0	5837857.0	37237.0	4660.0	6518.0	0.37	0.01	1.54	0.01	1.5	378971.0	3.14	16746.0	0.14	0.0	7.89	0.04	98.6378135431	99.1774929871	0.632607531558	0.0791672556076	0.110732225762
P_P2_02	Apr 29 18:27:09	Apr 29 18:31:48	Apr 29 18:37:41	129.85	12732091.0	184.0	11029384.0	86.63	181.16	5808784.0	5743153.0	5758549.0	39410.0	5556.0	5269.0	0.36	0.01	1.52	0.01	1.48	382939.0	3.01	22593.0	0.18	0.0	10.15	0.04	98.8701421847	99.1351890516	0.678455249842	0.0956482458291	0.090707452713
P_P2_03	Apr 29 18:44:33	Apr 29 18:45:07	Apr 29 18:47:21	296.92	11052157.0	184.0	9842175.0	89.05	181.29	5184016.0	5123875.0	5139225.0	34895.0	5174.0	4722.0	0.35	0.01	1.54	0.01	1.51	321804.0	2.91	15567.0	0.14	0.0	7.86	0.04	98.8398762658	99.135978747	0.673126780473	0.0998067907198	0.0910876818281
P_P2_04	Apr 29 18:56:25	Apr 29 18:56:44	Apr 29 19:00:51	288.46	19791296.0	184.0	17256647.0	87.19	181.46	9003646.0	8875493.0	8926479.0	61026.0	6705.0	9436.0	0.36	0.01	1.52	0.01	1.48	595723.0	3.01	23769.0	0.12	0.0	9.65	0.03	98.5766543909	99.142936095	0.677792085562	0.0744698314438	0.104801987995
P_P2_05	Apr 29 18:42:24	Apr 29 18:43:05	Apr 29 18:46:44	185.9	11308750.0	184.0	9419406.0	83.29	181.0	5821440.0	5725876.0	5772856.0	36697.0	6013.0	5874.0	0.34	0.01	1.52	0.01	1.57	368670.0	3.26	19028.0	0.17	0.0	13.25	0.03	98.3584130387	99.1654298593	0.630376676561	0.103290594767	0.100902869393
P_P2_06	Apr 29 18:56:30	Apr 29 18:57:01	Apr 29 18:59:51	230.88	10902881.0	184.0	8314388.0	76.26	180.89	4711222.0	4653396.0	4676018.0	31054.0	2237.0	1913.0	0.34	0.01	1.47	0.01	1.37	346740.0	3.18	26709.0	0.24	0.0	20.28	0.04	98.7725902112	99.2527628713	0.659149579451	0.0474823729385	0.0406051763216
P_P2_07	Apr 29 19:43:00	Apr 29 19:43:20	Apr 29 19:46:04	275.75	12561766.0	184.0	10698756.0	85.17	181.15	4559935.0	4494757.0	4522633.0	30600.0	3304.0	3398.0	0.36	0.01	1.54	0.01	1.46	320904.0	2.55	19315.0	0.15	0.0	12.09	0.03	98.5706375201	99.1819620236	0.671062197159	0.0724571731834	0.0745186060766
P_P2_08	Apr 29 18:14:14	Apr 29 18:16:18	Apr 29 18:18:09	262.09	8081057.0	184.0	7179520.0	88.84	181.37	3404280.0	3358067.0	3373020.0	25202.0	2888.0	3170.0	0.33	0.01	1.51	0.01	1.49	234808.0	2.91	12789.0	0.16	0.0	8.04	0.05	98.6425029669	99.0817441574	0.7403033828	0.0848343849507	0.093118074894
P_P2_09	Apr 29 19:27:57	Apr 29 19:29:16	Apr 29 19:31:52	263.71	11427478.0	184.0	9667555.0	84.6	180.86	5549319.0	5494779.0	5500583.0	40529.0	4456.0	3751.0	0.34	0.01	1.51	0.01	1.51	354540.0	3.1	17181.0	0.15	0.0	12.11	0.03	99.0171767022	99.1217661122	0.730341867173	0.0802981410872	0.0675938795373
P_P2_10	Apr 29 19:50:10	Apr 29 19:50:30	Apr 29 19:56:20	292.2	28407953.0	184.0	24743077.0	87.1	181.3	12679310.0	12513540.0	12574911.0	80607.0	12281.0	11511.0	0.37	0.01	1.54	0.01	1.49	821733.0	2.89	42364.0	0.15	0.0	9.82	0.04	98.6925944708	99.1766192324	0.635736487238	0.0968585829986	0.090785697329
P_P2_11	Apr 29 19:40:55	Apr 29 19:41:16	Apr 29 19:43:57	270.6	12101675.0	184.0	10437285.0	86.25	181.16	4752340.0	4689927.0	4713043.0	31774.0	4249.0	3274.0	0.35	0.01	1.54	0.01	1.51	338562.0	2.8	17871.0	0.15	0.0	10.77	0.04	98.6866890837	99.1731020929	0.668596943821	0.089408586086	0.0688923772289
P_P2_12	Apr 29 19:16:19	Apr 29 19:17:24	Apr 29 19:20:21	265.08	13032981.0	184.0	11515017.0	88.35	181.46	6562307.0	6474759.0	6502089.0	46485.0	6278.0	7455.0	0.35	0.01	1.51	0.01	1.47	403400.0	3.1	15953.0	0.12	0.0	8.38	0.04	98.6658960027	99.0823653938	0.708363689782	0.0956675754426	0.11360334102
P_P2_13	Apr 29 19:54:37	Apr 29 19:55:11	Apr 29 19:59:03	290.77	18738260.0	184.0	16746270.0	89.37	181.36	10184248.0	10067589.0	10094587.0	70658.0	9156.0	9847.0	0.36	0.01	1.54	0.01	1.52	615503.0	3.28	22441.0	0.12	0.0	7.19	0.03	98.854515326	99.1196109914	0.693796930318	0.0899035451611	0.0966885331151
P_P2_14	Apr 29 19:22:16	Apr 29 20:17:19	Apr 29 20:20:46	299.87	17242536.0	184.0	14962745.0	86.78	181.29	7524900.0	7411622.0	7462142.0	49745.0	5829.0	7184.0	0.35	0.01	1.48	0.01	1.49	474969.0	2.75	23462.0	0.14	0.0	10.27	0.06	98.4946245133	99.1659955614	0.661071907932	0.0774628234262	0.0954697072386
P_P3_01	Apr 29 18:17:43	Apr 29 18:18:16	Apr 29 18:29:15	302.05	55292145.0	184.0	48784704.0	88.23	181.28	27480234.0	27179815.0	27250030.0	178253.0	29228.0	22723.0	0.36	0.01	1.52	0.01	1.51	1678276.0	3.04	83273.0	0.15	0.0	8.54	0.04	98.906781507	99.1622924317	0.648658959745	0.106360084124	0.0826885244136
P_P3_02	Apr 29 19:14:25	Apr 29 19:14:44	Apr 29 19:26:47	294.79	59203495.0	184.0	51805632.0	87.5	181.3	30141471.0	29619140.0	29894807.0	200918.0	19579.0	26167.0	0.34	0.01	1.53	0.01	1.55	1974090.0	3.33	86782.0	0.15	0.0	8.96	0.05	98.267068651	99.1816457797	0.666583259988	0.0649570155352	0.0868139448138
P_P3_03	Apr 29 17:56:56	Apr 29 17:58:54	Apr 29 18:12:22	298.86	67078458.0	184.0	59319193.0	88.43	181.28	32701509.0	32292101.0	32415209.0	237011.0	23769.0	25520.0	0.37	0.01	1.54	0.01	1.53	1902870.0	2.84	88054.0	0.13	0.0	8.56	0.04	98.7480455413	99.1245052331	0.724770835499	0.0726847192281	0.0780392121966
P_P4_11	Apr 30 00:32:10	Apr 30 00:32:28	Apr 30 00:42:37	216.65	36650627.0	200.0	30957534.0	84.47	195.81	20061942.0	19786105.0	19890096.0	135421.0	17508.0	18917.0	0.43	0.01	1.54	0.01	1.55	1068703.0	2.92	46354.0	0.13	0.0	12.47	0.02	98.6250732855	99.1434229049	0.675014412862	0.0872697169596	0.0942929652573
P_P4_12	Apr 29 19:25:31	Apr 29 19:26:15	Apr 29 19:37:33	193.14	36374966.0	200.0	29141207.0	80.11	194.72	15580865.0	15352524.0	15449356.0	108365.0	12456.0	10688.0	0.4	0.01	1.52	0.01	1.5	1084757.0	2.98	60240.0	0.17	0.0	16.71	0.03	98.534478028	99.155958286	0.695500538641	0.0799442136236	0.068596961722
P_P4_13	Apr 29 19:53:01	Apr 29 19:54:08	Apr 29 20:05:16	208.12	38618415.0	200.0	31235852.0	80.88	194.74	19557673.0	19305634.0	19390368.0	134388.0	16795.0	16122.0	0.42	0.01	1.57	0.01	1.55	1236893.0	3.2	71320.0	0.18	0.0	15.69	0.04	98.7113037425	99.1445556943	0.687136961539	0.0858742244029	0.0824331197275
