	Started job on	Started mapping on	Finished on	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	% splices: Annotated (sjdb)	% splices: GT/AG	% splices: GC/AG	% splices: AT/AC	% splices: Non-canonical
N_CVN_02	Apr 30 18:53:53	Apr 30 18:54:13	Apr 30 18:55:56	524.42	15004122.0	100.0	13506456.0	90.02	98.58	2615542.0	2573956.0	2588557.0	22355.0	2485.0	2145.0	0.27	0.02	1.6	0.01	1.49	629376.0	4.19	53262.0	0.35	0.0	5.35	0.08	98.4100427368	98.9682826733	0.854698567257	0.0950089885767	0.0820097708238
N_CVN_03	Apr 30 18:36:40	Apr 30 18:37:23	Apr 30 18:39:11	496.82	14904527.0	100.0	13326419.0	89.41	98.55	2920847.0	2877122.0	2891745.0	23996.0	2924.0	2182.0	0.27	0.02	1.53	0.01	1.44	599743.0	4.02	39788.0	0.27	0.0	6.21	0.08	98.5030027249	99.0036451755	0.821542518317	0.10010794814	0.0747043580167
N_CVN_04	Apr 30 18:51:26	Apr 30 18:51:56	Apr 30 18:53:39	489.82	14014311.0	100.0	12835412.0	91.59	98.8	2589974.0	2554879.0	2566310.0	19348.0	2145.0	2171.0	0.26	0.02	1.59	0.01	1.43	514798.0	3.67	35868.0	0.26	0.0	4.38	0.1	98.6449670923	99.0863228743	0.747034526215	0.0828193642098	0.0838232352912
N_CVN_05	Apr 30 18:31:42	Apr 30 19:45:26	Apr 30 19:48:48	276.52	15515787.0	100.0	14241871.0	91.79	98.89	2542162.0	2502407.0	2517696.0	20583.0	2216.0	1667.0	0.26	0.02	1.59	0.01	1.51	603980.0	3.89	49394.0	0.32	0.0	3.88	0.12	98.4361736191	99.037590838	0.809665159026	0.0871698971191	0.0655741058202
N_CVN_06	Apr 30 18:35:44	Apr 30 18:36:47	Apr 30 18:38:31	523.7	15129199.0	100.0	13768697.0	91.01	98.86	2907260.0	2867622.0	2878178.0	24204.0	3367.0	1511.0	0.26	0.02	1.57	0.01	1.46	679884.0	4.49	50385.0	0.33	0.0	4.06	0.11	98.6365856511	98.9996766715	0.832536477646	0.115813515131	0.0519733357182
N_CVN_07	Apr 30 18:33:47	Apr 30 18:34:32	Apr 30 18:36:46	519.49	19336392.0	100.0	17650146.0	91.28	98.82	4119372.0	4067996.0	4084281.0	26897.0	3626.0	4568.0	0.26	0.01	1.52	0.01	1.45	794610.0	4.11	50555.0	0.26	0.0	4.25	0.1	98.7528196045	99.1481468535	0.652939331529	0.0880231258551	0.110890689163
N_CVN_08	Apr 30 18:51:37	Apr 30 18:51:57	Apr 30 18:53:47	543.01	16592106.0	100.0	15073143.0	90.85	98.72	3456223.0	3407196.0	3420148.0	29709.0	3808.0	2558.0	0.26	0.02	1.57	0.01	1.47	698249.0	4.21	49018.0	0.3	0.0	4.55	0.1	98.5814862062	98.9562305442	0.859579951872	0.110178075894	0.074011428082
N_CVN_09	Apr 30 18:28:56	Apr 30 18:30:25	Apr 30 18:31:56	515.5	13030786.0	100.0	11780841.0	90.41	98.62	3056703.0	3022433.0	3031005.0	20930.0	2270.0	2498.0	0.25	0.02	1.55	0.01	1.47	627527.0	4.82	33955.0	0.26	0.0	4.47	0.05	98.8788573833	99.1592902549	0.684724685388	0.0742630213011	0.0817220384185
N_CVN_10	Apr 30 18:28:23	Apr 30 18:30:18	Apr 30 18:31:21	62.34	1090974.0	100.0	881501.0	80.8	96.15	126676.0	124839.0	125472.0	893.0	189.0	122.0	0.28	0.02	1.52	0.01	1.43	37083.0	3.4	3864.0	0.35	0.0	15.38	0.07	98.5498436957	99.0495437178	0.704948056459	0.149199532666	0.0963086930437
N_CVN_11	Apr 30 18:31:29	Apr 30 18:32:25	Apr 30 18:35:37	308.88	16473750.0	100.0	15016089.0	91.15	98.81	3004357.0	2959037.0	2978119.0	21147.0	2238.0	2853.0	0.25	0.02	1.53	0.01	1.43	615310.0	3.74	45584.0	0.28	0.0	4.74	0.1	98.4915241431	99.1266683686	0.703877734903	0.0744918130568	0.0949620834009
N_CVN_12	Apr 30 18:45:27	Apr 30 18:46:08	Apr 30 18:48:47	386.08	17051783.0	100.0	15185688.0	89.06	98.55	3436099.0	3388504.0	3402097.0	26782.0	5303.0	1917.0	0.28	0.01	1.58	0.01	1.53	687048.0	4.03	62140.0	0.36	0.0	6.36	0.19	98.6148536465	99.0104476035	0.779430394759	0.154331991017	0.0557900107069
N_CVN_13	Apr 30 18:49:26	Apr 30 18:49:45	Apr 30 18:51:31	502.02	14781847.0	100.0	13512221.0	91.41	98.76	2789195.0	2752779.0	2760812.0	23609.0	2172.0	2602.0	0.27	0.02	1.56	0.01	1.49	546202.0	3.7	56679.0	0.38	0.0	4.34	0.17	98.6943903169	98.9823945619	0.846444941999	0.0778719307901	0.0932885653387
N_CVN_14	Apr 30 18:36:09	Apr 30 18:37:00	Apr 30 18:39:34	456.53	19529464.0	100.0	16920426.0	86.64	98.34	5185342.0	5112052.0	5139042.0	36353.0	5096.0	4851.0	0.27	0.01	1.45	0.01	1.48	1099391.0	5.63	70886.0	0.36	0.0	7.28	0.08	98.5865927455	99.1070984325	0.701072368997	0.0982770278219	0.0935521707151
N_CVN_15	Apr 30 18:47:14	Apr 30 18:47:33	Apr 30 18:49:19	495.16	14579576.0	100.0	12878594.0	88.33	98.29	3274270.0	3236152.0	3244904.0	22734.0	4037.0	2595.0	0.27	0.01	1.59	0.01	1.46	697594.0	4.78	56437.0	0.39	0.0	6.36	0.13	98.8358321091	99.1031283309	0.694322703992	0.123294658046	0.0792543070669
N_CVN_16	Apr 30 18:31:23	Apr 30 18:32:00	Apr 30 18:36:33	185.41	14060409.0	100.0	12103920.0	86.09	98.47	4021735.0	3979827.0	3979314.0	33521.0	4409.0	4491.0	0.26	0.01	1.56	0.01	1.37	809506.0	5.76	40273.0	0.29	0.0	7.82	0.05	98.957962173	98.9452064843	0.833495991158	0.109629301781	0.111668222794
N_CVN_17	Apr 30 18:30:42	Apr 30 18:31:17	Apr 30 18:33:40	471.32	18722070.0	100.0	16976270.0	90.68	98.75	5563964.0	5510177.0	5519154.0	36452.0	5407.0	2951.0	0.25	0.01	1.51	0.01	1.49	1011005.0	5.4	51952.0	0.28	0.0	3.59	0.06	99.0332971241	99.1946389301	0.655144425809	0.0971789177644	0.0530377263404
N_CVN_18	Apr 30 18:41:50	Apr 30 18:42:12	Apr 30 18:43:25	524.78	10641448.0	100.0	9725162.0	91.39	98.98	2045532.0	2020477.0	2025350.0	15960.0	2202.0	2020.0	0.25	0.02	1.56	0.01	1.43	436769.0	4.1	30105.0	0.28	0.0	4.12	0.11	98.7751352704	99.0133618051	0.780237121688	0.107649257015	0.0987518161535
N_CVN_19	Apr 30 18:38:37	Apr 30 18:40:00	Apr 30 18:47:51	97.21	12718098.0	100.0	11618198.0	91.35	98.96	2372109.0	2342275.0	2349260.0	18940.0	2368.0	1541.0	0.25	0.02	1.55	0.01	1.48	540483.0	4.25	39736.0	0.31	0.0	3.96	0.12	98.7423006278	99.0367643308	0.798445602626	0.0998267786177	0.0649632879433
N_CVN_20	Apr 30 18:51:59	Apr 30 18:52:51	Apr 30 18:55:13	293.84	11590416.0	100.0	10073676.0	86.91	98.64	2163846.0	2134083.0	2141145.0	15825.0	2386.0	4490.0	0.25	0.02	1.58	0.01	1.38	482058.0	4.16	47188.0	0.41	0.0	8.33	0.19	98.6245324298	98.9508957661	0.731336703259	0.110266627107	0.207500903484
N_CVN_21	Apr 30 18:39:43	Apr 30 18:40:06	Apr 30 18:41:43	506.99	13660673.0	100.0	12552551.0	91.89	99.02	2675792.0	2644498.0	2648231.0	22508.0	2823.0	2230.0	0.25	0.02	1.56	0.01	1.44	554659.0	4.06	39631.0	0.29	0.0	3.62	0.14	98.8304771073	98.9699872038	0.841171511089	0.105501473956	0.0833398111662
N_CVN_22	Apr 30 18:54:15	Apr 30 18:55:03	Apr 30 18:56:59	359.92	11597466.0	100.0	10618408.0	91.56	99.04	2298922.0	2268931.0	2277429.0	17413.0	2004.0	2076.0	0.24	0.01	1.59	0.01	1.43	485313.0	4.18	39292.0	0.34	0.0	3.75	0.17	98.6954320329	99.0650835479	0.757441966278	0.087171291588	0.0903031942798
N_CVN_23	Apr 30 18:48:51	Apr 30 18:49:27	Apr 30 18:51:19	359.26	11176828.0	100.0	10253527.0	91.74	99.08	1953558.0	1927950.0	1934458.0	15833.0	2044.0	1223.0	0.25	0.02	1.58	0.01	1.47	449561.0	4.02	33498.0	0.3	0.0	3.81	0.13	98.6891610078	99.0222967529	0.81046992206	0.104629604035	0.0626037210055
N_CVN_24	Apr 30 18:51:16	Apr 30 18:52:12	Apr 30 18:54:05	388.76	12202771.0	100.0	11195224.0	91.74	99.02	1983326.0	1948361.0	1961673.0	17658.0	2278.0	1717.0	0.26	0.02	1.58	0.01	1.46	467768.0	3.83	42789.0	0.35	0.0	3.91	0.16	98.2370523051	98.9082480641	0.89032261968	0.114857567541	0.0865717486687
